"region","present","sum.2","sum.3","sum.4"
"Northern America",6907733.32889686,112631.295623198,115561.741206598,120303.703308719
"Eastern Asia",3363385.67446206,65296.3788309139,71576.8267211091,112713.538532427
"South America",1494175.99295781,19250.27342373,48066.4774042018,61690.8809529865
"Southern Europe",717047.678868087,16184.5979989428,15734.8121950745,15003.5382613145
"Eastern Europe",623362.345011955,17009.2849586159,16555.6029584477,15698.262798448
"Western Europe",580625.552418901,8891.76996869868,8561.59628194889,8067.37811679633
"Central America",577155.622899003,5809.60874841197,4747.3972525332,493289.411332962
"South-Eastern Asia",406400.027216524,7040.26862781259,7621.71193951626,125647.472313768
"Southern Asia",394134.128424771,12309.5071937838,13322.1413195677,236238.526627846
"Eastern Africa",304612.213167571,6905.05750466644,6058.02162277599,4767.62733862577
"Western Africa",204878.800226291,5908.82228947853,5986.0780788967,6131.59567126608
"Southern Africa",197504.493856138,4527.6821787123,4263.20749078787,4332.29272567861
"Western Asia",100446.267689121,2560.05447283437,2236.01881951909,718.490664484054
"Northern Africa",72031.3315294472,1262.57061628977,1191.21464150608,1107.36478630615
"Middle Africa",67912.7689246241,1919.4318991743,1591.60608784679,1059.07925418695
"Central Asia",22046.0495575812,611.3425084896,438.477585623074,-416.625402734469
"Caribbean",13112.0198726196,124.117460285872,88.2178207608542,29.2204615746795
"Australia and New Zealand",7959.88165294759,132.21823981005,127.733892186966,121.170961209456
"Melanesia",98.5183817915367,0.863654329311768,264.48981181413,530.389245173727
