"region","median.2","median.3","median.4","mean.2","mean.3","mean.4","range.2","range.3","range.4"
"Western Africa",0.0775441889,0.0416013721,0.0442549083,0.0749060430410256,0.039668893627641,0.0418698556529436,"0.039743079,0.0907636878","0.01335261746,0.0515872496","0.001779652594,0.0610520445"
"Eastern Europe",0.0679831971,0.0351393783,0.038099646,0.0652799404119883,0.0340077159203704,0.0384432362817934,"0.0392302881,0.084624007","0.0193401117,0.0550483219","-0.00367165799,0.1037603671"
"Central Asia",0.0675754014,0.0229550698,0.0137573826,0.0669643327,0.0238165598906329,-0.00252326650067089,"0.0486161145,0.0784461561","-0.0441640706,0.043979624","-0.1299991706,0.058421259"
"Northern Africa",0.0636220699,0.0326419342,0.031985041,0.06205279444625,0.0321696865925,0.031372412553375,"0.031841181,0.0750696999","0.0160724007,0.0426359214","0.01207799867,0.0778642137"
"Southern Asia",0.0616971295,0.0333059432,0.036430776,0.0645023957147343,0.0394673424081159,1.2882695678319,"0.0286849344,1.158174465","-0.1184067456,2.365359255","-0.1599809056,81.022781"
"Middle Africa",0.0606569984,0.0273490636,0.0213857084,0.0621598509310256,0.0284874266863077,0.0235186659243354,"0.0248917898,0.0904305171","-0.0115243436,0.0526420498","-0.0606932675,0.0709058872"
"Western Asia",0.059672053,0.025504122,0.022414794,0.05869060086,0.0264776826771579,0.0179256289028421,"0.04068882,0.077660804","0.00870246273,0.043590858","-0.129999623,0.085825634"
"Eastern Africa",0.0545229049,0.0249914161,0.0221248455,0.0537958990982222,0.0247893729142222,0.0210001764435022,"0.0346688565,0.0767910621","-0.00253491998,0.0392313267","-0.0393294133,0.043133964"
"Southern Africa",0.05068986065,0.0234522782,0.0217842625,0.560412920309615,0.905931462768462,1.96326203650577,"0.0333549775,66.0505911","0.0155211862,92.2074166","0.0135742878,139.201803"
"Eastern Asia",0.0434502621,0.02245708935,0.0256968846,0.0443913313521352,0.0245854676409075,1.16108373645769,"0.0256119885,0.0866201733","-0.0899593686,0.44342856","-0.1299985063,206.436384"
"Southern Europe",0.04120497535,0.0200893602,0.0202033092,0.0439770039205882,0.0206704224127451,0.019922189354902,"0.0210918316,0.0628621818","0.0096871082,0.029187686","0.0090292783,0.028776206"
"Northern America",0.0351455592,0.0169289964,0.0177547518,0.0341560473261818,0.0167426040632727,0.0185414457163636,"0.015337194,0.0477490788","0.0076157478,0.0267857622","0.0074728236,0.05043576"
"Australia and New Zealand",0.0347657949,0.0160479234,0.0151672032,0.0329067251526316,0.0152141883473684,0.0148012910052632,"0.0191425194,0.0399627","0.0083257551,0.0194543451","0.00692320221,0.0210032091"
"South-Eastern Asia",0.03338832,0.017161899,0.014548001775,0.0389452366618377,0.661225319376743,1.79166457223176,"-0.0963303165,0.258256944","-0.1478126925,193.4671095","-0.1478126925,223.398615"
"Western Europe",0.0309922487,0.015166907,0.01466641995,0.0312311329600962,0.0153397411591346,0.0147663421798077,"0.0184453199,0.04455927","0.010027591,0.0223257447","0.0099103697,0.0224600571"
"South America",0.027284753,0.010775912,0.0070372634,0.0264527122655088,0.0760432721934172,0.138773478859128,"-0.0458243539,0.237871374","-0.13,53.9338436","-0.13,53.9338436"
"Caribbean",0.0247478452,0.00831383566,0.001223024829,0.0255146232545455,0.00817056189772727,-0.000367999316454545,"0.0209529047,0.0299057967","-0.00349991291,0.0150493421","-0.0270941554,0.01231267336"
"Central America",0.0229865838,0.0104993568,0.0088509444,0.0264023315893791,0.0169945788252288,6.3538528087734,"0.0141296077,0.07465395","0.0018931212,0.232021602","-0.0083008512,114.228144"
"Melanesia",0.01619181855,0.00625502016,0.002896961355,0.0212211361125,2.483064290991,7.67139980538637,"0.0128214135,0.0575587548","-0.00457357536,59.3760231","-0.0353792322,65.2175208"
